COUNTRY CODE	MOBILE NUMBER	SONG NUMBER	TIMESTAMP
FR	+33 6 15 59 90 38	7	2025-05-30 14:12:10
FR	+33 6 83 26 25 17	20	2025-05-30 13:59:57
FR	+33 6 24 28 15 81	15	2025-05-30 14:50:08
FR	+33 6 77 69 49 27	11	2025-05-30 13:59:11
FR	+33 6 87 83 37 39	8	2025-05-30 14:09:58
FR	+33 7 38 50 95 71	21	2025-05-30 14:21:53
FR	+33 7 32 96 41 72	7	2025-05-30 13:59:37
FR	+33 7 18 22 47 11	19	2025-05-30 14:55:14
FR	+33 7 58 75 34 33	23	2025-05-30 14:40:39
FR	+33 6 55 68 91 92	11	2025-05-30 14:31:52
FR	+33 7 09 63 58 48	11	2025-05-30 14:42:40
FR	+33 7 49 59 21 26	24	2025-05-30 14:09:48
FR	+33 7 85 28 14 82	21	2025-05-30 14:01:05
FR	+33 6 73 08 35 72	4	2025-05-30 14:57:02
FR	+33 7 22 51 73 13	8	2025-05-30 14:11:38
FR	+33 6 90 47 06 39	24	2025-05-30 14:41:20
FR	+33 7 19 90 22 41	3	2025-05-30 14:08:40
FR	+33 7 38 33 62 02	22	2025-05-30 14:21:45
FR	+33 7 96 01 00 51	21	2025-05-30 14:52:14
FR	+33 6 31 07 89 21	2	2025-05-30 14:36:23
FR	+33 7 13 75 65 99	24	2025-05-30 14:30:30
FR	+33 7 16 42 88 77	12	2025-05-30 14:01:29
FR	+33 7 31 26 99 49	6	2025-05-30 14:10:09
FR	+33 7 73 24 53 08	2	2025-05-30 14:35:21
FR	+33 7 00 24 86 16	21	2025-05-30 14:03:17
FR	+33 6 85 40 09 82	1	2025-05-30 14:13:32
FR	+33 6 12 94 64 77	12	2025-05-30 14:22:44
FR	+33 7 54 78 43 09	22	2025-05-30 14:25:51
FR	+33 6 18 32 02 83	12	2025-05-30 14:46:54
FR	+33 6 12 91 99 19	25	2025-05-30 14:50:43
FR	+33 6 97 65 98 86	17	2025-05-30 14:04:43
FR	+33 6 57 07 43 13	10	2025-05-30 14:40:58
FR	+33 6 60 34 36 90	16	2025-05-30 14:26:33
FR	+33 6 01 57 34 01	15	2025-05-30 14:36:30
FR	+33 6 77 55 53 75	15	2025-05-30 14:39:51
FR	+33 6 49 24 04 93	19	2025-05-30 14:35:33
FR	+33 7 50 10 07 31	12	2025-05-30 14:46:09
FR	+33 6 26 93 58 37	23	2025-05-30 14:33:36
FR	+33 7 08 68 20 48	20	2025-05-30 14:04:58
FR	+33 7 94 83 22 45	25	2025-05-30 14:02:39
FR	+33 6 07 64 34 11	3	2025-05-30 14:53:04
FR	+33 7 64 50 78 41	5	2025-05-30 14:05:30
FR	+33 7 56 42 80 50	19	2025-05-30 14:34:54
FR	+33 7 00 24 22 27	7	2025-05-30 14:56:30
FR	+33 6 83 36 44 46	21	2025-05-30 14:08:19
FR	+33 6 16 39 62 18	9	2025-05-30 14:38:04
FR	+33 6 51 93 13 57	7	2025-05-30 14:42:25
FR	+33 7 29 93 96 31	18	2025-05-30 14:50:18
FR	+33 6 57 63 64 31	4	2025-05-30 14:52:59
FR	+33 7 02 14 24 86	25	2025-05-30 14:42:49
